Registro Lettura Contatori,,,,,,
Data,Contatore Reintegro (L),Reintegro  (L),Contatore Ricircolo (m³),Ricircolo 24h (m³),Note,Firma
,,,,,,
mer 20/mag 26,,,,,,
gio 21/mag 26,,,,,,
ven 22/mag 26,,,,,,
sab 23/mag 26,,,,,,
dom 24/mag 26,0,,,,,
lun 25/mag 26,1440,1440,,,CYA 62 ppm,
mar 26/mag 26,1440,0,,,,
mer 27/mag 26,2640,1200,,,,
gio 28/mag 26,2640,0,,,,
ven 29/mag 26,2640,0,,,,
sab 30/mag 26,2640,0,,,,
dom 31/mag 26,4190,1550,,,CYA 62 ppm,
lun 01/giu 26,4190,0,,,,
mar 02/giu 26,4190,0,,,,
mer 03/giu 26,4190,0,,,,
gio 04/giu 26,5990,1800,,,CYA 71 ppm,
ven 05/giu 26,5990,0,,,,
sab 06/giu 26,5990,0,,,,
dom 07/giu 26,5990,0,,,,
lun 08/giu 26,6790,800,,,CYA 69 ppm,
mar 09/giu 26,6790,0,,,,
mer 10/giu 26,6790,0,,,,
gio 11/giu 26,7390,600,,,CYA 69 ppm,
ven 12/giu 26,7390,0,,,,
sab 13/giu 26,8490,1100,,,,
dom 14/giu 26,8490,0,,,,
lun 15/giu 26,10490,2000,,,CYA 79 ppm,
mar 16/giu 26,11490,1000,,,,
mer 17/giu 26,13890,2400,,,CYA 72 ppm,
gio 18/giu 26,16390,2500,,,CYA 70 ppm,
ven 19/giu 26,19790,3400,,,CYA 68 ppm,
sab 20/giu 26,22217,2427,,,CYA 57 ppm,
dom 21/giu 26,23174,957,,,,
lun 22/giu 26,27346,4172,,,CYA 62 ppm Temperatura Alta,
mar 23/giu 26,30155,2809,,,CYA 55 ppm Temperatura Alta,
mer 24/giu 26,35579,5424,,,CYA 50 ppm Temperatura Alta,
gio 25/giu 26,39347,3768,,,CYA  48 ppm Temperatura alta,
ven 26/giu 26,40620,1273,,,,
sab 27/giu 26,40620,0,,,,
dom 28/giu 26,41911,1291,,,Temperatura Alta,
lun 29/giu 26,41911,0,,,,
mar 30/giu 26,47040,5129,,,,
mer 01/lug 26,47040,0,,,,
gio 02/lug 26,47040,0,,,"Temporali, calato livello la piscina era piena",
ven 03/lug 26,47040,0,,,,
sab 04/lug 26,48143,1103,,,Portato a Livello,
dom 05/lug 26,,-48143,,,,
lun 06/lug 26,,0,,,,
mar 07/lug 26,,0,,,,
mer 08/lug 26,,0,,,,
gio 09/lug 26,,0,,,,
ven 10/lug 26,,0,,,,
sab 11/lug 26,,0,,,,
dom 12/lug 26,,0,,,,
lun 13/lug 26,,0,,,,
mar 14/lug 26,,0,,,,
mer 15/lug 26,,0,,,,
gio 16/lug 26,,0,,,,
ven 17/lug 26,,0,,,,
sab 18/lug 26,,0,,,,
dom 19/lug 26,,0,,,,
lun 20/lug 26,,0,,,,
mar 21/lug 26,,0,,,,
mer 22/lug 26,,0,,,,
gio 23/lug 26,,0,,,,
ven 24/lug 26,,0,,,,
sab 25/lug 26,,0,,,,
dom 26/lug 26,,0,,,,
lun 27/lug 26,,0,,,,
mar 28/lug 26,,0,,,,
mer 29/lug 26,,0,,,,
gio 30/lug 26,,0,,,,
ven 31/lug 26,,0,,,,
sab 01/ago 26,,0,,,,
dom 02/ago 26,,0,,,,
lun 03/ago 26,,0,,,,
mar 04/ago 26,,0,,,,
mer 05/ago 26,,0,,,,
gio 06/ago 26,,0,,,,
ven 07/ago 26,,0,,,,
sab 08/ago 26,,0,,,,
dom 09/ago 26,,0,,,,
lun 10/ago 26,,0,,,,
mar 11/ago 26,,0,,,,
mer 12/ago 26,,0,,,,
gio 13/ago 26,,0,,,,
ven 14/ago 26,,0,,,,
sab 15/ago 26,,0,,,,
dom 16/ago 26,,0,,,,
lun 17/ago 26,,0,,,,
mar 18/ago 26,,0,,,,
mer 19/ago 26,,0,,,,
gio 20/ago 26,,0,,,,
ven 21/ago 26,,0,,,,
sab 22/ago 26,,0,,,,
dom 23/ago 26,,0,,,,
lun 24/ago 26,,0,,,,
mar 25/ago 26,,0,,,,
mer 26/ago 26,,0,,,,
gio 27/ago 26,,0,,,,
ven 28/ago 26,,0,,,,
sab 29/ago 26,,0,,,,
dom 30/ago 26,,0,,,,
lun 31/ago 26,,0,,,,
mar 01/set 26,,0,,,,
mer 02/set 26,,0,,,,
gio 03/set 26,,0,,,,
ven 04/set 26,,0,,,,
sab 05/set 26,,0,,,,
dom 06/set 26,,0,,,,
lun 07/set 26,,0,,,,
mar 08/set 26,,0,,,,
mer 09/set 26,,0,,,,
gio 10/set 26,,0,,,,
ven 11/set 26,,0,,,,
sab 12/set 26,,0,,,,
dom 13/set 26,,0,,,,
lun 14/set 26,,0,,,,
mar 15/set 26,,0,,,,
mer 16/set 26,,0,,,,
gio 17/set 26,,0,,,,
ven 18/set 26,,0,,,,
sab 19/set 26,,0,,,,
dom 20/set 26,,0,,,,
lun 21/set 26,,0,,,,
mar 22/set 26,,0,,,,
mer 23/set 26,,0,,,,
gio 24/set 26,,0,,,,
ven 25/set 26,,0,,,,
sab 26/set 26,,0,,,,
dom 27/set 26,,0,,,,
lun 28/set 26,,0,,,,
mar 29/set 26,,0,,,,
mer 30/set 26,,0,,,,
